,STOCK,CODE
1189,Filatex India Ltd,BOM526227
1190,Filmcity Media Ltd.,BOM531486
1191,Filtra Consultants And Engineers Ltd,BOM539098
1192,Filtron Engineers Ltd.,BOM531191
1193,Finalysis Credit & Guarantee Co.ltd.,BOM531820
1194,Financial Technologies (india) Ltd.,BOM526881
1195,Finaventure Capital Ltd.,BOM512219
1196,Fine-line Circuits Ltd.,BOM517264
1197,Fineotex Chemical Ltd.,BOM533333
1198,Finkurve Financial Services Ltd,BOM508954
1199,Finolex Cables Ltd.,BOM500144
1200,Finolex Industries Ltd.,BOM500940
1201,Fintech Communications Ltd.,BOM531754
1202,First Custodian Fund (india) Ltd.,BOM511122
1203,First Financial Services Ltd.,BOM511369
1204,First Leasing Co.of India Ltd.,BOM500145
1205,First Winner Industries Ltd.,BOM532996
1206,Firstobject Technologies Ltd.,BOM532379
1207,Firstsource Solutions Ltd.,BOM532809
1208,Fischer Chemic Ltd.,BOM524743
1209,Five X Finance & Investment Ltd,BOM536751
1210,Flawless Diamond (india) Ltd.,BOM523576
1211,Flex Foods Ltd,BOM523672
1212,Flexituff International Ltd.,BOM533638
1213,Flora Textiles Ltd.,BOM530705
1214,Florence Investech Limited,BOM532518
1215,Fluidomat Ltd.,BOM522017
1216,Focus Industrial Resources Ltd.,BOM534757
1217,Fomento Resorts & Hotels Ltd.,BOM503831
1218,Foods & Inns Ltd.,BOM507552
1219,Forbes & Company Ltd,BOM502865
1220,Force Motors Ltd,BOM500033
1221,Fortis Healthcare Ltd.,BOM532843
1222,Fortis Malar Hospitals Limited,BOM523696
1223,Fortune Financial Services (india) Ltd.,BOM530023
1224,Fortune International Ltd.,BOM530213
1225,Foseco India Ltd.,BOM500150
1226,Foundry Fuel Products Ltd.,BOM513579
1227,Fourth Generation Information Systems Ltd.,BOM532403
1228,Fraser And Company Ltd,BOM539032
1229,Fresenius Kabi Oncology Ltd.,BOM532545
1230,Freshtrop Fruits Ltd.,BOM530077
1231,Frontier Capital Ltd,BOM508980
1232,Frontier Informatics Limited,BOM531225
1233,Frontier Springs Ltd.,BOM522195
1234,Frontline Business Solutions Ltd.,BOM521167
1235,Frontline Securities Ltd.,BOM533213
1236,Fruition Venture Ltd,BOM538568
1237,Fulford (india) Ltd,BOM506803
1238,Funny Software Ltd,BOM539169
1239,Funworld & Tourism Development Ltd.,BOM531854
1240,Fusion Fittings (i) Ltd.,BOM531760
1241,Future Consumer Enterprise Limited,BOM533400
1242,Future Enterprises Ltd,BOM523574
1243,Future Enterprises Ltd,BOM570002
1244,Future Lifestyle Fashions Ltd,BOM536507
1245,Future Market Networks Ltd.,BOM533296
1246,Futuristic Securities Ltd.,BOM523113
1247,Futuristic Solutions Ltd.,BOM534063
1248,G-tech Info-training Ltd.,BOM532139
1249,G.d.trading & Agencies Ltd.,BOM504346
1250,G.g.dandekar Machine Works Ltd.,BOM505250
1251,G.k.consultants Ltd.,BOM531758
1252,G.m.breweries Ltd.,BOM507488
1253,G.s.auto International Ltd.,BOM513059
1254,Gabriel India Ltd,BOM505714
1255,Gaekwar Mills Ltd.,BOM502850
1256,Gagan Gases Ltd.,BOM524624
1257,Gagan Polycot India Ltd.,BOM531196
1258,Gail (india) Ltd.,BOM532155
1259,Gajanan Securities Services Ltd,BOM538609
1260,Gajra Bevel Gears Ltd,BOM505711
1261,Gala Print City Ltd,BOM539228
1262,Galada Finance Ltd,BOM538881
1263,Galada Power & Telecommunication Ltd.,BOM504697
1264,Galaxy Agrico Exports Ltd.,BOM531911
1265,Galaxy Bearings Ltd.,BOM526073
1266,Galaxy Consolidated Finance Ltd.,BOM511128
1267,Galaxy Entertainment Corporation Ltd,BOM506186
1268,Gallantt Ispat Ltd.,BOM533265
1269,Gallantt Metal Ltd.,BOM532726
1270,Gamma Infoway Exalt Ltd.,BOM517391
1271,Gammon India Ltd.,BOM509550
1272,Gammon Infrastructure Projects Ltd.,BOM532959
1273,Gandhi Special Tubes Ltd,BOM513108
1274,Gandhinagar Hotels Ltd.,BOM530237
1275,Gandhinagar Leasing & Finance Ltd.,BOM511489
1276,Ganesh Benzoplast Ltd.,BOM500153
1277,Ganesh Holdings Ltd.,BOM504397
1278,Ganesh Housing Corporation Ltd,BOM526367
1279,Ganesha Ecosphere Ltd.,BOM514167
1280,Ganga Papers India Ltd.,BOM531813
1281,Gangotri Iron & Steel Company Ltd.,BOM530945
1282,Gangotri Textiles Ltd.,BOM521176
1283,Ganon Trading Finance Co.ltd.,BOM512443
1284,Garden Silk Mills Ltd.,BOM500155
1285,Garg Furnace Ltd.,BOM530615
1286,Garnet Construction Ltd.,BOM526727
1287,Garnet International Ltd.,BOM512493
1288,Garodia Chemicals Ltd.,BOM530161
1289,Garwarbbph,BOM536591
1290,Garware Marine Industries Ltd.,BOM509563
1291,Garware Polyester Ltd.,BOM500655
1292,Garware Synthetics Ltd.,BOM514400
1293,Garware-wall Ropes Ltd.,BOM509557
1294,Gateway Distriparks Ltd.,BOM532622
1295,Gati Ltd.,BOM532345
1296,Gayatri Bioorganics Ltd.,BOM524564
1297,Gayatri Projects Ltd.,BOM532767
1298,Gayatri Sugars Ltd.,BOM532183
1299,Gayatri Tissue & Papers Ltd.,BOM512479
1300,Gcm Capital Advisors Ltd,BOM538319
1301,Gcm Commodity & Derivatives Ltd,BOM535917
1302,Gcm Securities Ltd,BOM535431
1303,Gdl Leasing & Finance Ltd.,BOM530855
1304,Gee Gee Granites Ltd.,BOM515097
1305,Gee Ltd.,BOM504028
1306,Geecee Ventures Limited,BOM532764
1307,Geefcee Finance Ltd.,BOM530389
1308,Gei Industrial Systems Ltd.,BOM530743
1309,Gem Spinners India Ltd.,BOM521133
1310,Gemini Communication Ltd.,BOM532318
1311,Gemmia Oiltech (india) Ltd.,BOM511652
1312,Gemstone Investments Ltd.,BOM531137
1313,Genera Agri Corp Ltd.,BOM590133
1314,Genesys International Corporation Ltd.,BOM506109
1315,Gennex Laboratories Ltd.,BOM531739
1316,Genomic Valley Biotech Ltd,BOM539206
1317,Genus Commu-trade Ltd.,BOM531939
1318,Genus Paper & Boards Ltd,BOM538961
1319,Genus Power Infrastructures Ltd,BOM530343
1320,Geodesic Ltd.,BOM503699
1321,Geojit Bnp Paribas Financial Services Ltd.,BOM532285
1322,Geometric Ltd.,BOM532312
1323,Geshipbbph,BOM536105
1324,Gfl Financials India Limited,BOM531055
1325,Ghcl Ltd.,BOM500171
1326,Gi Engineering Solutions Ltd.,BOM533048
1327,Gic Housing Finance Ltd.,BOM511676
1328,Gilada Finance & Investments Ltd,BOM538788
1329,Gillanders Arbuthnot & Co.ltd.,BOM532716
1330,Gillette India Ltd.,BOM507815
1331,Gini Silk Mills Ltd,BOM531744
1332,Ginni Filaments Ltd.,BOM590025
1333,Girdharilal Sugar & Allied Industries Ltd.,BOM507506
1334,Gita Renewable Energy Ltd,BOM539013
1335,Gitanjali Gems Ltd.,BOM532715
1336,Givo Ltd.,BOM531613
1337,Gkb Ophthalmics Ltd.,BOM533212
1338,Glance Finance Ltd.,BOM531199
1339,Glaxosmithkline Consumer Healthcare Ltd.,BOM500676
1340,Glaxosmithkline Pharmaceuticals Ltd.,BOM500660
1341,Glenmark Pharmaceuticals Ltd.,BOM532296
1342,Glittek Granites Ltd.,BOM513528
1343,Global Capital Markets Ltd.,BOM530263
1344,Global Infratech & Finance Limited,BOM531463
1345,Global Land Masters Corporation Ltd.,BOM531479
1346,Global Offshore Services Ltd,BOM501848
1347,Global Securities Ltd.,BOM530657
1348,Global Vectra Helicorp Ltd.,BOM532773
1349,Globus Constructors & Developers Limited,BOM526025
1350,Globus Corporation Ltd,BOM531904
1351,Globus Spirits Ltd.,BOM533104
1352,Glodyne Technoserve Ltd.,BOM532672
1353,Glory Polyfilms Ltd.,BOM532857
1354,Gloster Ltd,BOM538595
1355,Gloster Ltd.,BOM590085
1356,Gmm Pfaudler Ltd.,BOM505255
1357,Gmr Infrastructure Ltd.,BOM532754
1358,Goa Carbon Ltd,BOM509567
1359,Gocl Corporation Ltd,BOM506480
1360,Godavari Drugs Ltd.,BOM530317
1361,Godawari Power & Ispat Ltd.,BOM532734
1362,Godfrey Phillips India Ltd.,BOM500163
1363,Godrej Consumer Products Ltd.,BOM532424
1364,Godrej Industries Ltd.,BOM500164
1365,Godrej Properties Ltd,BOM533150
1366,Goenka Business & Finance Ltd,BOM538787
1367,Goenka Diamond & Jewels Ltd.,BOM533189
1368,Gogia Capital Services Limited,BOM531600
1369,Gokak Textiles Ltd.,BOM532957
1370,Gokaldas Exports Ltd.,BOM532630
1371,Gokul Refoils & Solvent Ltd.,BOM532980
1372,Gol Offshore Ltd.,BOM532786
1373,Gold Coin Health Foods Ltd,BOM538542
1374,Gold Line International Finvest Ltd,BOM538180
1375,Gold Rock Investments Ltd.,BOM501111
1376,Goldcrest Corporation Limited,BOM505576
1377,Golden Carpets Ltd.,BOM531928
1378,Golden Goenka Fincorp Limited,BOM530579
1379,Golden Legand Leasing & Finance Ltd.,BOM509024
1380,Golden Tobacco Ltd.,BOM500151
1381,Goldiam International Ltd.,BOM526729
1382,Goldman Sachs Banking Index Exchange Traded Scheme,BOM590106
1383,Goldman Sachs Mutual Fund- Cpse Etf-growth Option,BOM538057
1384,Goldman Sachs Nifty Exchange Traded Scheme,BOM590103
1385,Goldman Sachs Nifty Junior Exchange Traded Scheme,BOM590104
1386,Goldman Sachs Psu Bank Exchange Traded Scheme,BOM590108
1387,Goldman Sachs S&p Cnx Nifty Shariah Index Exchange Traded Scheme,BOM590109
1388,Goldstone Infratech Ltd.,BOM532439
1389,Goldstone Technologies Ltd.,BOM531439
1390,Golechha Global Finance Ltd.,BOM531360
1391,Golkonda Aluminium Extrusions Ltd,BOM513309
1392,Golkunda Diamonds & Jewellery Ltd.,BOM523676
1393,Gontermann-peipers (india) Ltd.,BOM504701
1394,Goodluck Steel Tubes Ltd.,BOM530655
1395,Goodricke Group Ltd.,BOM500166
1396,Goodyear India Ltd.,BOM500168
1397,Gopal Iron & Steels Co.(gujarat) Ltd.,BOM531913
1398,Gopala Polyplast Ltd.,BOM526717
1399,Goplee Infotech Ltd.,BOM531419
1400,Gorani Industries Ltd.,BOM531608
1401,Gothi Plascon (india) Ltd.,BOM531111
1402,Govind Rubber Ltd,BOM509148
1403,Gowra Leasing & Finance Ltd.,BOM530709
1404,Goyal Associates Ltd.,BOM530663
1405,Gp Petroleums Limited,BOM532543
1406,Gpt Infraprojects Ltd.,BOM533761
1407,Gr Cables Ltd.,BOM517564
1408,Gradiente Infotainment Ltd.,BOM590126
1409,Grandeur Products Ltd,BOM539235
1410,Grandma Trading & Agencies Ltd.,BOM504369
1411,Granules India Ltd,BOM532482
1412,Graphite India Ltd.,BOM509488
1413,Grasim Industries Ltd.,BOM500300
1414,Gratex Industries Ltd.,BOM526751
1415,Grauer & Weil (india) Ltd,BOM505710
1416,Graviss Hospitality Ltd.,BOM509546
1417,Gravita India Ltd.,BOM533282
1418,Gravity (india) Ltd,BOM532015
1419,Great Eastern Shipping Co.ltd.,BOM500620
1420,Greaves Cotton Ltd.,BOM501455
1421,Green Field Agri Ventures Ltd,BOM538743
1422,Green Fire Agri Commodities Ltd.,BOM590057
1423,Greencrest Financial Services Limited,BOM531737
1424,Greenlam Industries Ltd,BOM538979
1425,Greenply Industries Ltd.,BOM526797
1426,Greycells Education Limited,BOM508918
1427,Grindwell Norton Ltd,BOM506076
1428,Grm Overseas Ltd.,BOM531449
1429,Gromo Trade & Consultancy Ltd,BOM501314
1430,Grp Ltd.,BOM509152
1431,Gruh Finance Ltd.,BOM511288
1432,Gsb Finance Ltd.,BOM511543
1433,Gsl Nova Petrochemicals Limited,BOM530605
1434,Gsl Securities Ltd.,BOM530469
1435,Gss Infotech Ltd.,BOM532951
1436,Gtl Infrastructure Ltd.,BOM532775
1437,Gtl Ltd.,BOM500160
1438,Gtn Industries Ltd.,BOM500170
1439,Gtn Textiles Ltd.,BOM532744
1440,Gufic Biosciences Ltd.,BOM509079
1441,Gujarat Alkalies & Chemicals Ltd.,BOM530001
1442,Gujarat Ambuja Exports Ltd.,BOM524226
1443,Gujarat Apollo Industries Ltd.,BOM522217
1444,Gujarat Automotive Gears Ltd.,BOM505712
1445,Gujarat Bitumen Ltd,BOM539009
1446,Gujarat Borosil Ltd.,BOM523768
1447,Gujarat Carbon & Industries Ltd.,BOM506457
1448,Gujarat Containers Ltd.,BOM513507
1449,Gujarat Cotex Ltd.,BOM514386
1450,Gujarat Craft Industries Ltd.,BOM526965
1451,Gujarat Credit Corporation Ltd.,BOM511441
1452,Gujarat Fluorochemicals Ltd.,BOM500173
1453,Gujarat Foils Ltd.,BOM531410
1454,Gujarat Gas Co.ltd.,BOM523477
1455,Gujarat Gas Ltd,BOM539336
1456,Gujarat Hotels Ltd.,BOM507960
1457,Gujarat Industries Power Co.ltd.,BOM517300
1458,Gujarat Intrux Ltd,BOM517372
1459,Gujarat Investa Ltd.,BOM531341
1460,Gujarat Lease Financing Ltd.,BOM500174
1461,Gujarat Meditech Ltd.,BOM524754
1462,Gujarat Metallic Coal & Coke Ltd,BOM531881
1463,Gujarat Mineral Development Corporation Ltd.,BOM532181
1464,Gujarat Narmada Flyash Co.ltd.,BOM526598
1465,Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,BOM500670
1466,Gujarat Natural Resources Limited,BOM513536
1467,Gujarat Nre Coke Ltd,BOM570003
1468,Gujarat Nre Coke Ltd.,BOM512579
1469,Gujarat Organics Ltd.,BOM501368
1470,Gujarat Petrosynthese Ltd.,BOM506858
1471,Gujarat Pipavav Port Ltd.,BOM533248
1472,Gujarat Poly-avx Electronics Ltd.,BOM517288
1473,Gujarat Raffia Industries Ltd.,BOM523836
1474,Gujarat Sidhee Cement Ltd.,BOM518029
1475,Gujarat State Fertilizers & Chemicals Ltd.,BOM500690
1476,Gujarat State Financial Corporation Ltd.,BOM532160
1477,Gujarat State Petronet Ltd.,BOM532702
1478,Gujarat Terce Laboratories Ltd.,BOM524314
1479,Gujarat Themis Biosyn Ltd.,BOM506879
1480,Gujarat Toolroom Ltd.,BOM513337
1481,Gujchem Distillers India Ltd.,BOM506640
1482,Gulf Oil Lubricants India Ltd,BOM538567
1483,Gulshan Chemfill Ltd.,BOM532425
1484,Gulshan Polyols Ltd.,BOM532457
1485,Gupta Carpets International Ltd.,BOM514360
1486,Gupta Synthetics Ltd.,BOM514116
1487,Gv Films Ltd.,BOM523277
1488,Gvk Power & Infrastructure Ltd.,BOM532708
1489,Gyan Developers & Builders Ltd.,BOM530141
1490,Gyscoal Alloys Ltd.,BOM533275
1491,H.k. Trade International Ltd,BOM539337
1492,H.p.cotton Textile Mills Ltd.,BOM502873
1493,H.s.india Ltd.,BOM532145
1494,Haldyn Glass Ltd,BOM515147
1495,Hanjer Fibres Ltd.,BOM514308
1496,Hanung Toys & Textiles Ltd.,BOM532770
1497,Hardcastle & Waud Mfg.co.ltd.,BOM509597
1498,Hari Govind International Ltd.,BOM531971
1499,Haria Apparels Ltd,BOM538081
1500,Haria Exports Ltd,BOM512604
1501,Harita Seating Systems Ltd,BOM590043
1502,Hariyana Ship Breakers Ltd,BOM526931
1503,Harmony Capital Services Ltd.,BOM530055
1504,Harrisons Malayalam Ltd.,BOM500467
1505,Haryana Capfin Ltd.,BOM532855
1506,Haryana Financial Corporation Ltd.,BOM530927
1507,Haryana Leather Chemicals Ltd.,BOM524080
1508,Haryana Texprints (overseas) Limited,BOM514296
1509,Hasti Finance Ltd.,BOM531387
1510,Hathway Bhawani Cabletel & Datacom Ltd.,BOM509073
1511,Hathway Cable & Datacom Ltd,BOM533162
1512,Hatsun Agro Product Ltd.,BOM531531
1513,Havells India Ltd.,BOM517354
1514,Hawa Engineers Ltd,BOM539176
1515,Hawkins Cookers Ltd,BOM508486
1516,Hazoor Multi Projects Ltd,BOM532467
1517,Hb Estate Developers Ltd.,BOM532334
1518,Hb Leasing & Finance Co.ltd.,BOM508956
1519,Hb Portfolio Ltd.,BOM532333
1520,Hb Stockholdings Ltd.,BOM532216
1521,Hbl Power Systems Ltd,BOM517271
1522,Hcl Infosystems Ltd.,BOM500179
1523,Hcl Technologies Ltd.,BOM532281
1524,Hdfc Bank Ltd,BOM500180
1525,Hdfc Focused Equity Fund Plan A - Direct Option - Growth,BOM539139
1526,Hdfc Focused Equity Fund Plan A - Direct Option- Dividend Option,BOM538981
1527,Hdfc Focused Equity Fund Plan A - Direct Option- Growth Option,BOM538980
1528,Hdfc Focused Equity Fund Plan A- Direct Option - Dividend Payout,BOM539140
1529,Hdfc Focused Equity Fund Plan A-regular Option - Dividend Option,BOM538983
1530,Hdfc Focused Equity Fund Plan A-regular Option- Growth Option,BOM538982
1531,Hdfc Focused Equity Fund Plan B - Regular Option- Dividend Payout,BOM539138
1532,Hdfc Focused Equity Fund Plan B - Regular Option- Growth,BOM539134
1533,Hdfc Mutual Fund - Hdfc Rajiv Gandhi Equity Savings Scheme - Series 2 - Regular Plan - G O,BOM537866
1534,Hdfc Mutual Fund - Hdfc Rajiv Gandhi Equity Savings Scheme - Series 2- Direct Plan- Dvdd P O,BOM537869
1535,Hdfc Mutual Fund - Hdfc Rajiv Gandhi Equity Savings Scheme - Series 2- Direct Plan- Growth O,BOM537868
1536,Hdfc Mutual Fund - Hdfc Rajiv Gandhi Equity Savings Scheme - Series 2-regular Plan- D P O,BOM537867
1537,Healthfore Technologies Ltd.,BOM533525
1538,Healthy Investments Ltd.,BOM503689
1539,Heera Ispat Ltd.,BOM526967
1540,Heg Ltd.,BOM509631
1541,Heidelbergcement India Ltd.,BOM500292
1542,Helios & Matheson Information Technology Ltd,BOM532347
1543,Hella India Lighting Ltd.,BOM520026
1544,Helpage Finlease Ltd,BOM539174
1545,Hem Holdings & Trading Ltd.,BOM505520
1546,Hemang Resources Ltd,BOM531178
1547,Hemo Organic Limited,BOM524590
1548,Hercules Hoists Ltd.,BOM505720
1549,Heritage Foods Limited,BOM519552
1550,Hero Motocorp Ltd.,BOM500182
1551,Hester Biosciences Ltd.,BOM524669
1552,Hexa Tradex Ltd.,BOM534328
1553,Hexaware Technologies Ltd.,BOM532129
1554,High Energy Batteries (india) Ltd.,BOM504176
1555,High Ground Enterprise Ltd,BOM517080
1556,High Street Filatex Ltd.,BOM531301
1557,Hikal Ltd.,BOM524735
1558,Hil Ltd.,BOM509675
1559,Hilton Metal Forging Ltd.,BOM532847
1560,Himachal Fibres Ltd.,BOM514010
1561,Himachal Futuristic Communications Ltd.,BOM500183
1562,Himadri Chemicals & Industries Ltd.,BOM500184
1563,Himalaya Granites Ltd,BOM513723
1564,Himalchuli Food Products Ltd.,BOM511169
1565,Himalya International Ltd.,BOM526899
1566,Himatsingka Seide Ltd.,BOM514043
1567,Hind Aluminium Industries Ltd,BOM531979
1568,Hind Commerce Ltd,BOM538652
1569,Hind Industries Ltd.,BOM526307
1570,Hind Rectifiers Ltd.,BOM504036
1571,Hind Securities & Credits Ltd,BOM539114
1572,Hind Syntex Ltd.,BOM503881
1573,Hindalco Industries Ltd.,BOM500440
1574,Hindoostan Mills Ltd.,BOM509895
1575,Hinduja Foundries Ltd,BOM505982
1576,Hinduja Global Solutions Ltd.,BOM532859
1577,Hinduja Ventures Ltd.,BOM500189
1578,Hindustan Adhesives Ltd.,BOM514428
1579,Hindustan Appliances Ltd.,BOM531918
1580,Hindustan Bio Sciences Ltd.,BOM532041
1581,Hindustan Composites Ltd.,BOM509635
1582,Hindustan Construction Co.ltd.,BOM500185
1583,Hindustan Copper Ltd.,BOM513599
1584,Hindustan Dorr-oliver Ltd.,BOM509627
1585,Hindustan Everest Tools Ltd.,BOM505725
1586,Hindustan Fluorocarbons Ltd.,BOM524013
1587,Hindustan Foods Ltd.,BOM519126
1588,Hindustan Hardy Spicer Ltd.,BOM505893
1589,Hindustan Housing Co.ltd.,BOM509650
1590,Hindustan Media Ventures Ltd.,BOM533217
1591,Hindustan Motors Ltd.,BOM500500
1592,Hindustan Oil Exploration Co.ltd.,BOM500186
1593,Hindustan Organic Chemicals Ltd.,BOM500449
1594,Hindustan Petroleum Corporation Ltd.,BOM500104
1595,Hindustan Tin Works Ltd,BOM530315
1596,Hindustan Unilever Ltd.,BOM500696
1597,Hindustan Wires Ltd.,BOM504713
1598,Hindustan Zinc Ltd.,BOM500188
1599,Hindusthan National Glass & Industries Ltd,BOM515145
1600,Hindusthan Udyog Ltd.,BOM513039
1601,Hipolin Ltd.,BOM530853
1602,Hira Automobiles Ltd.,BOM531743
1603,Hira Ferro Alloys Ltd.,BOM533256
1604,Hiran Orgochem Ltd,BOM506170
1605,Hisar Metal Industries Ltd,BOM590018
1606,Hisar Spinning Mills Ltd.,BOM521068
1607,Hit Kit Global Solutions Ltd.,BOM532359
1608,Hitachi Home And Life Solutions (india) Ltd.,BOM523398
1609,Hitech Plast Ltd,BOM526217
1610,Hittco Tools Ltd.,BOM531661
1611,Hmt Ltd.,BOM500191
1612,Honda Siel Power Products Ltd.,BOM522064
1613,Honeywell Automation India Ltd.,BOM517174
1614,Hotel Leelaventure Ltd.,BOM500193
1615,Hotel Rugby Ltd.,BOM526683
1616,Housing Development & Infrastructure Ltd.,BOM532873
1617,Housing Development Finance Corp.ltd.,BOM500010
1618,Hov Services Ltd.,BOM532761
1619,Howard Hotels Ltd.,BOM526761
1620,Hpc Biosciences Ltd.,BOM535217
1621,Hrb Floriculture Ltd.,BOM531724
1622,Hsil Ltd.,BOM500187
1623,Ht Media Ltd.,BOM532662
1624,Hubtown Ltd.,BOM532799
1625,Huhtamaki Ppl Limited,BOM509820
1626,I G Petrochemicals Ltd.,BOM500199
1627,I-power Solutions India Ltd.,BOM512405
1628,Ib Infotech Enterprises Ltd.,BOM519463
1629,Icici Bank Ltd.,BOM532174
1630,Icici Prudential Growth Fund Series 1 (direct Dividend Option),BOM538502
1631,Icici Prudential Growth Fund Series 1 (regular Dividend Payout),BOM538501
1632,Icici Prudential Growth Fund Series 2 (direct Plan - Dividend Payout Option),BOM538578
1633,Icici Prudential Growth Fund Series 2 (regular Plan - Dividend Payout Option),BOM538577
1634,Icici Prudential Growth Fund Series 3 (direct Plan - Dividend Payout Option),BOM538729
1635,Icici Prudential Growth Fund Series 3 (regular Plan - Dividend Payout Option),BOM538728
1636,Icici Prudential Growth Fund Series 4 (direct Plan - Dividend Payout Option),BOM538764
1637,Icici Prudential Growth Fund Series 4 (regular Plan - Dividend Payout Option),BOM538763
1638,Icici Prudential Growth Fund Series 6 (direct Plan - Dividend Payout),BOM538893
1639,Icici Prudential Growth Fund Series 6 (regular Plan - Dividend Payout),BOM538892
1640,Icici Prudential Growth Fund Series 7 (direct Plan - Dividend Payout),BOM538925
1641,Icici Prudential Growth Fund Series 7 (regular Plan - Dividend Payout),BOM538924
1642,Icici Prudential Growth Fund Series 8 (direct Plan - Dividend Payout),BOM538937
1643,Icici Prudential Growth Fund Series 8 (regular Plan - Dividend Payout),BOM538936
1644,Icici Prudential India Recovery Fund - Series 1 (direct Plan - Dividend Payout Option),BOM539085
1645,Icici Prudential India Recovery Fund - Series 1 (regular Plan - Dividend Payout Option),BOM539084
1646,Icici Prudential India Recovery Fund - Series 2 (direct Plan - Dividend Payout Option),BOM539101
1647,Icici Prudential India Recovery Fund - Series 2 (regular Plan - Dividend Payout Option),BOM539100
1648,Icici Prudential India Recovery Fund Series 3 - Direct Plan - Cumulative Option,BOM539319
1649,Icici Prudential India Recovery Fund Series 3 - Direct Plan - Dividend Payout,BOM539320
1650,Icici Prudential India Recovery Fund Series 3 - Regular Plan - Cumulative,BOM539321
1651,Icici Prudential India Recovery Fund Series 3 - Regular Plan - Dividend Option,BOM539322
1652,Icici Prudential Mutual Fund - Icici Prudential Cnx 100 Etf,BOM537008
1653,Icici Prudential Mutual Fund - Icici Prudential Equity Savings Fund Series 1 - Direct Plan Dividend,BOM537651
1654,Icici Prudential Mutual Fund - Icici Prudential Equity Savings Fund Series 1-direct Plan Cumulative,BOM537650
1655,Icici Prudential Mutual Fund - Icici Prudential Equity Savings Fund Series 1-reglr Plan Cumulative,BOM537648
1656,Icici Prudential Mutual Fund - Icici Prudential Equity Savings Fund Series 1-regular Plan Dividend,BOM537649
1657,Icici Prudential Mutual Fund - Icici Prudential Nifty Etf,BOM537007
1658,Icici Prudential Mutual Fund- Direct Plan Cumulative Option,BOM539394
1659,Icici Prudential Mutual Fund- Direct Plan Dividend Option,BOM539395
1660,Icici Prudential Mutual Fund- Regular Plan Cumulative Option,BOM539396
1661,Icici Prudential Mutual Fund- Regular Plan Dividend Option,BOM539397
1662,Icici Prudential Spice Fund,BOM555555
1663,Icici Prudential Value Fund Series 3(direct Dividend Option),BOM537923
1664,Icici Prudential Value Fund Series 3(regular Dividend Option),BOM537922
1665,Icici Prudential Value Fund Series 5 (direct Cumulative Option),BOM538650
1666,Icici Prudential Value Fund Series 5 (direct Dividend Option),BOM538651
1667,Icici Prudential Value Fund Series 5 (regular Cumulative Option),BOM538648
1668,Icici Prudential Value Fund Series 5 (regular Dividend Option),BOM538649
1669,Icici Prudential Value Fund Series 6- Direct Plan Cumulative Option,BOM539092
1670,Icici Prudential Value Fund Series 6- Direct Plan Dividend Option,BOM539093
1671,Icici Prudential Value Fund Series 6- Regular Plan Cumulative Option,BOM539094
1672,Icici Prudential Value Fund Series 6- Regular Plan Dividend Option,BOM539095
1673,Icici Prudential Value Fund Series 7,BOM539179
1674,Icici Prudential Value Fund Series 7,BOM539180
1675,Icici Prudential Value Fund Series 8 - Direct Plan Dividend Option,BOM539285
1676,Icici Prudential Value Fund Series 8 - Regular Plan Dividend Option,BOM539286
1677,Icra Ltd.,BOM532835
1678,Icsa (india) Ltd,BOM531524
1679,Icvl Steels Ltd.,BOM534733
1680,Idbi Bank Ltd.,BOM500116
1681,Idea Cellular Ltd.,BOM532822
1682,Ideal Optics Ltd.,BOM531328
1683,Idfc Bank Ltd,BOM539437
1684,Idfc Equity Opportunity- Series 1- Direct Plan- Dividend,BOM535502
1685,Idfc Equity Opportunity- Series 1- Regular Plan- Dividend,BOM535501
1686,Idfc Limited,BOM532659
1687,Idfc Mutual Fund - Idfc Equity Opportunity- Series 2 - Direct Plan- Dividend,BOM537412
1688,Idfc Mutual Fund - Idfc Equity Opportunity- Series 3 - Direct Plan- Dividend,BOM537701
1689,Idfc Mutual Fund- Idfc Equity Opportunity- Series 2 - Regular Plan- Dividend,BOM537411
1690,Idfc Mutual Fund- Idfc Equity Opportunity- Series 3 - Regular Plan- Dividend,BOM537700
1691,Iec Education Ltd.,BOM531840
1692,Ifb Agro Industries Ltd.,BOM507438
1693,Ifb Industries Ltd.,BOM505726
1694,Ifci Ltd.,BOM500106
1695,Ifgl Refractories Ltd.,BOM532133
1696,Ifl Promoters Ltd.,BOM511682
1697,Ifm Impex Global Ltd.,BOM522289
1698,Igarashi Motors India Ltd.,BOM517380
1699,Iifl Holdings Limited,BOM532636
1700,Iitl Projects Limited,BOM531968
1701,Ikab Securities & Investment Ltd.,BOM514238
1702,Ikf Finance Ltd.,BOM530719
1703,Ikf Technologies Ltd.,BOM532414
1704,Il&fs Engineering And Construction Company Ltd.,BOM532907
1705,Il&fs Investment Managers Ltd.,BOM511208
1706,Il&fs Transportation Networks Ltd,BOM533177
1707,Im+ Capitals Limited,BOM511628
1708,Imc Finance Ltd.,BOM505539
1709,Imp Powers Ltd.,BOM517571
1710,Impex Ferro Tech Ltd.,BOM532614
1711,In House Productions Ltd.,BOM526610
1712,Inani Marbles & Industries Ltd.,BOM531129
1713,Inani Securities Ltd.,BOM531672
1714,Incap Ltd.,BOM517370
1715,Incon Engineers Ltd.,BOM531594
1716,Ind Bank Housing Ltd.,BOM523465
1717,Ind Renewable Energy Ltd,BOM536709
